Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,JP Sales Text,NA Sales,Other Sales,User Count,User Score
Racing,Star Wars Episode I Racer,N64,Nintendo,,1999,,,0.62,3.12,0.14,$0 Million,2.31,0.04,,
Platform,Sonic Rush,DS,Sega,E,2005,43,82,1.56,3.12,0.06,$0 Million,1.21,0.29,102,8.5
Role-Playing,Fallout: New Vegas,PS3,Bethesda Softworks,M,2010,57,82,1.03,3.12,0.1,$0 Million,1.53,0.46,496,7.8
Role-Playing,Dragon Warrior IV,NES,Enix Corporation,,1990,,,0,3.12,3.03,$3 Million,0.08,0.01,,
Misc,Personal Trainer: Cooking,DS,Nintendo,E,2006,12,81,1,3.12,1.03,$1 Million,0.91,0.17,10,7.8
Misc,Rhythm Heaven,DS,Nintendo,E,2008,48,83,0.5,3.11,1.93,$2 Million,0.55,0.13,63,9
Role-Playing,The Elder Scrolls IV: Oblivion,PS3,Ubisoft,M,2007,45,93,0.85,3.1,0.14,$0 Million,1.69,0.43,606,8
Shooter,Resident Evil 6,PS3,Capcom,M,2012,34,74,0.94,3.1,0.88,$1 Million,0.88,0.4,1309,5.4
Role-Playing,Mass Effect 2,X360,Electronic Arts,M,2010,98,96,0.81,3.1,0.03,$0 Million,1.99,0.27,3153,8.9
Fighting,Dragon Ball Z: Budokai,PS2,Atari,T,2002,28,67,0.28,3.09,0.55,$1 Million,2.17,0.08,71,7.9
Sports,Madden NFL 2002,PS2,Electronic Arts,E,2001,23,94,0.16,3.08,0.01,$0 Million,2.5,0.42,46,7.9
Sports,World Class Track Meet,NES,Namco Bandai Games,,1986,,,0.45,3.08,0.64,$1 Million,1.92,0.07,,
Platform,Donkey Kong,G,Nintendo,,1994,,,0.62,3.07,0.55,$1 Million,1.57,0.34,,
Simulation,The Sims: Vacation,PC,Electronic Arts,T,2002,18,75,1.21,3.07,0,$0 Million,1.72,0.14,22,7.8
Action,LEGO Batman: The Videogame,Wii,Warner Bros. Interactive Entertainment,E10+,2008,17,74,0.98,3.07,0,$0 Million,1.8,0.29,22,7.9
Action,LEGO Batman: The Videogame,DS,Warner Bros. Interactive Entertainment,E10+,2008,16,72,1.01,3.05,0,$0 Million,1.75,0.29,16,8
Shooter,Borderlands 2,X360,Take-Two Interactive,M,2012,59,89,0.88,3.05,0.04,$0 Million,1.89,0.25,895,8.2
Action,Kung Fu Panda,X360,Activision,E10+,2008,42,75,0.84,3.05,0,$0 Million,1.91,0.29,32,7.4
Role-Playing,Mass Effect 3,X360,Electronic Arts,M,2012,74,93,0.84,3.04,0.03,$0 Million,1.94,0.24,3733,5.8
Action,Saints Row 2,X360,THQ,M,2008,75,81,0.79,3.04,0.02,$0 Million,1.95,0.28,310,8.1
Adventure,Heavy Rain,PS3,Sony Computer Entertainment,M,2010,107,87,1.21,3.03,0.06,$0 Million,1.29,0.47,2775,7.7
Platform,Rayman,PS,Ubisoft,,1995,,,1.33,3.03,0,$0 Million,1.54,0.16,,
Action,Tom Clancys Splinter Cell,X,Ubisoft,T,2002,46,93,1.04,3.02,0,$0 Million,1.85,0.13,121,8.5
Sports,FIFA 14,PS4,Electronic Arts,E,2013,26,87,1.85,3.02,0.12,$0 Million,0.62,0.44,619,6.3
Fighting,Mike Tysons Punch-Out!!,NES,Nintendo,,1987,,,0.47,3.02,0.45,$0 Million,2.03,0.07,,
Sports,WWE SmackDown! Shut Your Mouth,PS2,THQ,,2002,,,1.13,3.02,0.07,$0 Million,1.45,0.38,,
Sports,NBA 2K13,X360,Take-Two Interactive,E,2012,41,88,0.2,3.01,0.01,$0 Million,2.61,0.19,132,7.3
Shooter,Killzone 2,PS3,Sony Computer Entertainment,M,2009,94,91,1.06,3.01,0.08,$0 Million,1.4,0.47,1509,8.1
Shooter,Far Cry 3,X360,Ubisoft,M,2012,39,91,1.32,3.01,0.02,$0 Million,1.38,0.28,1259,8.6
Platform,Epic Mickey,Wii,Disney Interactive Studios,E,2010,78,73,0.63,3,0.12,$0 Million,2.04,0.22,131,7
Fighting,Dragon Ball Z: Budokai Tenkaichi 3,PS2,Atari,T,2007,24,73,0,3,0.76,$1 Million,1.15,1.09,176,9.2
Fighting,wwe Smackdown vs. Raw 2006,PS2,THQ,,2005,,,1.02,3,0,$0 Million,1.57,0.41,,
Shooter,Star Fox,SNES,Nintendo,,1993,,,0.51,2.99,0.8,$1 Million,1.61,0.07,,
Misc,The Sims: Livin Large,PC,Electronic Arts,T,2000,23,82,1.18,2.99,0,$0 Million,1.67,0.13,20,6.6
Sports,World Soccer Winning Eleven 6 International,PS2,Konami Digital Entertainment,E,2002,24,93,1.26,2.99,1.16,$1 Million,0.12,0.45,65,9.1
Action,Devil May Cry,PS2,Capcom,M,2001,37,94,0.86,2.99,0.64,$1 Million,1.36,0.13,467,8.5
Action,Middle-Earth: Shadow of Mordor,PS4,Warner Bros. Interactive Entertainment,M,2014,85,84,1.43,2.97,0.05,$0 Million,1.02,0.47,1907,8.1
Role-Playing,Star Wars: The Old Republic,PC,Electronic Arts,T,2011,73,85,1.01,2.97,0,$0 Million,1.59,0.38,2755,5.9
Shooter,Titanfall,XOne,Electronic Arts,M,2014,68,86,0.8,2.96,0.04,$0 Million,1.85,0.27,2661,6.4
Platform,Sonic Heroes,PS2,Sega,E,2003,29,64,1.37,2.96,0.06,$0 Million,1.04,0.49,94,7.8
Action,Hitman 2: Silent Assassin,PS2,Eidos Interactive,M,2002,19,85,1.15,2.96,0.04,$0 Million,1.36,0.41,78,7.8
Shooter,Battlefield: Bad Company 2,PS3,Electronic Arts,M,2010,59,88,1.1,2.95,0.08,$0 Million,1.33,0.44,573,8.5
Racing,Wave Race 64,N64,Nintendo,,1996,,,0.58,2.94,0.34,$0 Million,1.98,0.04,,
Shooter,SOCOM II: U.S. Navy SEALs,PS2,Sony Computer Entertainment,M,2003,42,87,0.51,2.94,0.06,$0 Million,2.22,0.15,93,9
Fighting,WWE SmackDown! vs. RAW 2006,PS2,THQ,,2005,,,1.11,2.94,0.04,$0 Million,1.45,0.33,,
Fighting,Street Fighter IV,X360,Capcom,T,2009,77,93,0.7,2.94,0.15,$0 Million,1.83,0.26,292,7.3
Puzzle,Pac-Man Collection,GBA,Atari,E,2001,13,79,0.77,2.94,0.05,$0 Million,2.07,0.05,4,7.8
Action,inFAMOUS,PS3,Sony Computer Entertainment,T,2009,98,85,0.68,2.93,0.12,$0 Million,1.76,0.37,1176,8.3
Shooter,Call of Duty: Ghosts,XOne,Activision,M,2013,7,78,0.77,2.93,0,$0 Million,1.88,0.27,702,4.3
Sports,FIFA 15,X360,Electronic Arts,E,2014,,,1.92,2.92,0,$0 Million,0.79,0.21,85,4.2
Platform,Kirby Super Star Ultra,DS,Nintendo,E,2008,40,76,0.04,2.92,1.19,$1 Million,1.55,0.15,77,8.8
Platform,Super Mario World 2: Yoshis Island,GBA,Nintendo,,2002,,,0.45,2.91,0.62,$1 Million,1.75,0.09,,
Role-Playing,Mass Effect,X360,Microsoft Game Studios,M,2007,74,91,0.79,2.91,0.03,$0 Million,1.83,0.27,1702,8.7
Misc,Sonic Mega Collection Plus,PS2,Sega,E,2004,21,73,1.14,2.9,0,$0 Million,1.54,0.22,30,8.6
Sports,World Soccer Winning Eleven 7 International,PS2,Konami Digital Entertainment,E,2003,28,93,1.24,2.9,1.13,$1 Million,0.08,0.45,45,9
Sports,Sega Superstars Tennis,X360,Sega,E10+,2008,45,67,0.86,2.89,0,$0 Million,1.75,0.28,19,6.8
Sports,Hot Shots Golf 3,PS2,Sony Computer Entertainment,E,2001,30,85,0.32,2.89,1.38,$1 Million,0.99,0.2,16,8.9
Simulation,Cooking Mama: Cook Off,Wii,505 Games,E,2007,37,61,1.12,2.89,0.05,$0 Million,1.41,0.3,23,5.3
Puzzle,WarioWare: Smooth Moves,Wii,Nintendo,E10+,2006,61,83,1.04,2.89,0.73,$1 Million,0.86,0.26,180,7.4
Shooter,Call of Duty: Finest Hour,PS2,Activision,T,2004,49,76,1.12,2.89,0.01,$0 Million,1.51,0.24,70,7.7
Shooter,Syphon Filter,PS,Sony Computer Entertainment,T,1999,19,90,0.72,2.88,0.02,$0 Million,2.03,0.11,84,8.7
Simulation,Imagine: Babyz,DS,Ubisoft,E,2007,,,1.26,2.87,0,$0 Million,1.3,0.31,15,7.7
Racing,Colin McRae Rally,PS,Codemasters,,1998,,,2.43,2.87,0.12,$0 Million,0.09,0.22,,
Fighting,Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,M,2015,81,83,0.82,2.86,0,$0 Million,1.55,0.5,845,7.7
Sports,Madden NFL 13,X360,Electronic Arts,E,2012,36,81,0.15,2.86,0,$0 Million,2.53,0.17,179,5.8
Role-Playing,The Elder Scrolls III: Morrowind,X,Ubisoft,T,2002,34,87,0.63,2.86,0.03,$0 Million,2.09,0.11,112,8.7
Action,Assassins Creed IV: Black Flag,PS4,Ubisoft,M,2013,29,83,1.31,2.85,0.06,$0 Million,1.07,0.42,1553,7.8
Platform,Yoshis Story,N64,Nintendo,,1997,,,0.53,2.85,0.98,$1 Million,1.29,0.05,,
Racing,F-Zero,SNES,Nintendo,,1990,,,0.51,2.85,0.89,$1 Million,1.37,0.07,,
Strategy,Command & Conquer: Red Alert,PC,Virgin Interactive,,1996,,,1.34,2.85,0,$0 Million,1.37,0.14,,
Fighting,Mortal Kombat,PS3,Warner Bros. Interactive Entertainment,M,2011,60,84,0.53,2.85,0,$0 Million,1.98,0.34,496,8.4
Sports,Madden NFL 10,X360,Electronic Arts,E,2009,58,85,0.09,2.83,0,$0 Million,2.52,0.22,90,6.1
Fighting,WWE SmackDown! vs. Raw,PS2,THQ,,2002,,,1.08,2.83,0.04,$0 Million,1.32,0.39,,
Shooter,BioShock,X360,Take-Two Interactive,M,2007,88,96,0.85,2.83,0.05,$0 Million,1.65,0.28,2256,8.9
Shooter,Metroid Prime,GC,Nintendo,T,2002,70,97,0.67,2.82,0.1,$0 Million,1.96,0.09,754,9.3
Action,Assassins Creed: Brotherhood,PS3,Ubisoft,M,2010,59,90,0.55,2.82,0.11,$0 Million,1.87,0.29,800,8.2
Action,Finding Nemo,GBA,THQ,E,2003,,,1.05,2.82,0.04,$0 Million,1.59,0.14,8,7
Sports,Zumba Fitness 2,Wii,Majesco Entertainment,T,2011,,,1.04,2.82,0,$0 Million,1.51,0.27,,
Adventure,Myst,PC,Red Or,,1994,,,2.79,2.81,0,$0 Million,0.02,0,,
Shooter,Medal of Honor,PS3,Electronic Arts,M,2010,56,75,1.04,2.81,0.07,$0 Million,1.28,0.42,285,7.5
Racing,Need for Speed: Most Wanted,PS3,Electronic Arts,,2012,,,1.46,2.81,0.06,$0 Million,0.71,0.58,,
Simulation,Imagine: Fashion Designer,DS,Ubisoft,E,2007,,,1.19,2.8,0,$0 Million,1.32,0.3,7,7.6
Action,inFAMOUS: Second Son,PS4,Sony Computer Entertainment,T,2014,90,80,0.98,2.8,0.07,$0 Million,1.29,0.46,2954,7.9
Fighting,WWE SmackDown! Here Comes the Pain,PS2,THQ,,2003,,,1.06,2.8,0.04,$0 Million,1.32,0.38,,
Sports,Hot Shots Golf,PS,Sony Computer Entertainment,,1997,,,0.2,2.79,2.13,$2 Million,0.29,0.18,,
Platform,A Bugs Life,PS,Sony Computer Entertainment,,1998,,,0.72,2.79,0,$0 Million,1.96,0.11,,
Fighting,WWF SmackDown! Just Bring It,PS2,THQ,,2001,,,1.15,2.79,0.04,$0 Million,1.19,0.41,,
Role-Playing,Dragon Quest V: Tenkuu no Hanayome,SNES,Enix Corporation,,1992,,,0,2.79,2.78,$3 Million,0,0.01,,
Fighting,Mortal Kombat Trilogy,PS,GT Interactive,,1996,,,0.7,2.79,0,$0 Million,1.98,0.11,,
Role-Playing,Monster Hunter Tri,3DS,Nintendo,,2011,,,0.29,2.79,1.96,$2 Million,0.46,0.07,,
Sports,NBA Street,PS2,Electronic Arts,E,2001,22,89,0.22,2.79,0,$0 Million,2.19,0.38,39,8.6
Platform,Jak II,PS2,Sony Computer Entertainment,T,2003,47,87,0.74,2.78,0,$0 Million,1.68,0.36,241,8.2
Platform,Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment,,2003,,,0.83,2.78,0.26,$0 Million,1.44,0.25,,
Shooter,Killzone 3,PS3,Sony Computer Entertainment,M,2011,85,84,0.86,2.78,0.09,$0 Million,1.46,0.38,945,7.9
Racing,Need for Speed: Hot Pursuit,PS3,Electronic Arts,E10+,2010,59,89,1.23,2.78,0.03,$0 Million,1.05,0.47,301,7.2
Action,Skylanders: Spyros Adventure,Wii,Activision,E10+,2011,11,81,1.13,2.78,0,$0 Million,1.35,0.3,31,5.6
Shooter,Battlefield 3,PC,Electronic Arts,M,2011,61,89,1.43,2.78,0,$0 Million,0.89,0.46,4942,7.5
Simulation,The Sims,PS2,Electronic Arts,T,2003,33,83,1.12,2.77,0,$0 Million,1.41,0.24,46,7.7
Action,Star Wars: The Force Unleashed,X360,LucasArts,T,2008,74,73,0.77,2.77,0,$0 Million,1.74,0.26,390,6.7
Action,Saints Row: The Third,X360,THQ,M,2011,70,84,1.14,2.77,0.07,$0 Million,1.25,0.3,492,7.6
Platform,Yoshis Island DS,DS,Nintendo,E,2006,42,81,0.07,2.76,1.1,$1 Million,1.45,0.15,67,7.4
Shooter,Missile Command,2600,Atari,,1980,,,0.17,2.76,0,$0 Million,2.56,0.03,,
Misc,Mario Paint,SNES,Nintendo,,1992,,,0.54,2.75,0.71,$1 Million,1.43,0.07,,
Fighting,Tekken 6,PS3,Namco Bandai Games,T,2009,63,79,0.97,2.75,0.17,$0 Million,1.2,0.42,214,7.4
Strategy,Pok\xc3\xa9mon Stadium 2,N64,Nintendo,,2000,,,0.36,2.73,1.13,$1 Million,1.02,0.23,,
Platform,Sonic and the Secret Rings,Wii,Sega,E,2007,44,69,1.19,2.73,0.04,$0 Million,1.21,0.29,177,6.6
Action,Metroid,NES,Nintendo,,1986,,,0.31,2.73,1.04,$1 Million,1.33,0.05,,
Sports,FIFA 16,PS3,Electronic Arts,E,2015,,,1.84,2.72,0.05,$0 Million,0.42,0.4,59,3.1
Adventure,L.A. Noire,X360,Take-Two Interactive,M,2011,83,89,0.92,2.7,0.02,$0 Million,1.53,0.24,895,7.8
Action,The Legend of Zelda: A Link to the Past,GBA,Nintendo,E,2002,30,95,0.52,2.7,0.33,$0 Million,1.75,0.1,314,9.1
Action,Onimusha: Warlords,PS2,Virgin Interactive,M,2001,23,86,0.48,2.7,1.09,$1 Million,0.99,0.14,56,8.2
Misc,Mario Party,N64,Nintendo,,1998,,,0.53,2.7,0.87,$1 Million,1.25,0.05,,
Shooter,Call of Duty 3,X360,Activision,T,2006,71,82,0.92,2.7,0.02,$0 Million,1.49,0.27,233,6.5
Sports,Madden NFL 12,X360,Electronic Arts,E,2011,55,78,0.11,2.7,0,$0 Million,2.42,0.16,94,5.9
Action,LEGO Star Wars II: The Original Trilogy,PS2,LucasArts,E10+,2006,32,84,0.64,2.69,0.01,$0 Million,1.85,0.19,43,9
Shooter,Killzone: Shadow Fall,PS4,Sony Computer Entertainment,M,2013,88,73,1.34,2.69,0.08,$0 Million,0.89,0.39,2113,6.8
Sports,Madden NFL 11,X360,Electronic Arts,E,2010,47,84,0.12,2.69,0,$0 Million,2.38,0.18,120,5.7
Role-Playing,Yokai Watch 2 Shinuchi,3DS,Level 5,,2014,,,0,2.68,2.68,$3 Million,0,0,,
Racing,Burnout 3: Takedown,PS2,Electronic Arts,T,2004,52,93,1.11,2.68,0,$0 Million,1.23,0.34,272,9.1
Puzzle,Professor Layton and the Last Specter,DS,Nintendo,E10+,2009,58,83,1.39,2.67,0.68,$1 Million,0.28,0.33,53,8.6
Fighting,Mortal Kombat,GEN,Arena Entertainment,,1992,,,0.63,2.67,0,$0 Million,1.95,0.09,,
Puzzle,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,E,2010,51,79,0.51,2.67,0.35,$0 Million,1.63,0.18,18,7.7
Shooter,Call Of Duty 2: Big Red One,PS2,Activision,T,2005,39,77,0.92,2.67,0.01,$0 Million,1.48,0.26,70,8.2
Shooter,Medal of Honor,PS,Electronic Arts,T,1998,17,92,1.09,2.67,0,$0 Million,1.44,0.14,81,8.6
Sports,Skate 3,X360,Electronic Arts,T,2010,65,80,0.95,2.66,0,$0 Million,1.47,0.24,128,8
Role-Playing,Fable,X,Microsoft Game Studios,M,2004,87,85,0.58,2.66,0,$0 Million,1.99,0.09,270,8.5
Misc,Guitar Hero: World Tour,X360,Activision,T,2008,67,85,0.63,2.66,0,$0 Million,1.78,0.25,172,6.3
Action,Hannah Montana,DS,Disney Interactive Studios,E,2006,,,0.8,2.65,0,$0 Million,1.59,0.26,10,6.7
Action,Tom Clancys Splinter Cell,PS2,Ubisoft,T,2003,24,89,1.11,2.65,0,$0 Million,1.15,0.4,103,7.7
Platform,Super Mario Bros.: The Lost Levels,NES,Nintendo,,1986,,,0,2.65,2.65,$3 Million,0,0,,
Racing,Need for Speed: Shift,PS3,Electronic Arts,E,2009,55,84,1.4,2.65,0.04,$0 Million,0.69,0.52,114,6.9
Action,Star Wars: Shadows of the Empire,N64,Nintendo,,1996,,,0.5,2.65,0.12,$0 Million,2,0.03,,
Shooter,Medal of Honor Heroes,PSP,Electronic Arts,T,2006,24,71,1.11,2.65,0.01,$0 Million,0.86,0.66,47,7.9
Role-Playing,Final Fantasy XIII-2,PS3,Square Enix,T,2011,53,79,0.73,2.63,0.89,$1 Million,0.78,0.23,713,6.6
Racing,Midnight Club: Street Racing,PS2,Take-Two Interactive,T,2000,18,78,0.47,2.63,0.02,$0 Million,2,0.14,21,7.8
Strategy,Halo Wars,X360,Microsoft Game Studios,T,2009,92,82,0.8,2.63,0.04,$0 Million,1.55,0.25,457,7.2
Sports,NBA 2K12,X360,Take-Two Interactive,E,2011,42,90,0.14,2.63,0.01,$0 Million,2.32,0.16,134,7.7
Sports,ESPN NFL 2K5,PS2,Sega,E,2004,37,90,0.12,2.62,0,$0 Million,2.15,0.36,84,8.2
Sports,FIFA Soccer 10,X360,Electronic Arts,E,2009,63,90,1.79,2.62,0.01,$0 Million,0.59,0.23,133,7.5
Shooter,Medal of Honor,X360,Electronic Arts,M,2010,71,74,0.8,2.62,0.04,$0 Million,1.56,0.21,288,6.7
Fighting,Pac-Man: Adventures in Time,PSP,Sony Computer Entertainment,,2006,,,1.09,2.62,0.12,$0 Million,0.76,0.64,,
Action,Harry Potter and the Chamber of Secrets,PS2,Electronic Arts,E,2002,16,71,1.22,2.61,0.04,$0 Million,0.9,0.44,50,7.5
Action,Streets of Rage,GEN,Sega,,1990,,,0.55,2.6,0.11,$0 Million,1.86,0.08,,
Action,God of War Collection,PS3,Sony Computer Entertainment,M,2009,50,91,0.44,2.6,0.06,$0 Million,1.7,0.4,531,8.7
Action,LEGO Star Wars: The Complete Saga,X360,LucasArts,E10+,2007,24,80,0.82,2.59,0,$0 Million,1.53,0.24,116,7.4
Sports,NBA Live 2005,PS2,Electronic Arts,E,2004,21,84,0.21,2.59,0,$0 Million,2.03,0.35,44,8.1
Sports,FIFA Soccer 09,PS3,Electronic Arts,E,2008,42,87,1.63,2.59,0.04,$0 Million,0.49,0.43,108,7.5
Sports,Mario Strikers Charged,Wii,Nintendo,E10+,2007,47,79,1.05,2.58,0.24,$0 Million,1.05,0.24,124,8
Simulation,Style Savvy,DS,Nintendo,E,2008,4,73,0.82,2.58,0.96,$1 Million,0.62,0.18,7,7.7
Platform,Super Mario All-Stars: Limited Edition,Wii,Nintendo,,2010,,,0.52,2.58,0.92,$1 Million,1.01,0.14,,
Fighting,WWE SmackDown vs. RAW 2007,PS2,THQ,T,2006,27,80,0.88,2.58,0.03,$0 Million,1.4,0.26,57,8.6
Action,Bloodborne,PS4,Sony Computer Entertainment,M,2015,100,92,0.84,2.58,0.26,$0 Million,1.08,0.39,6432,8.6
Platform,Ratchet & Clank: Up Your Arsenal,PS2,Sony Computer Entertainment,,2004,,,0.74,2.57,0.31,$0 Million,1.31,0.22,,
Sports,Madden NFL 08,PS2,Electronic Arts,E,2007,11,78,0.08,2.57,0,$0 Million,2.14,0.35,17,7.8
Shooter,Overwatch,PS4,Activision,T,2016,31,90,1.03,2.57,0.16,$0 Million,0.99,0.4,1408,6.1
Role-Playing,Monster Hunter Freedom 2,PSP,Capcom,T,2007,38,72,0.27,2.57,1.75,$2 Million,0.37,0.18,83,8.7
Sports,Madden NFL 13,PS3,Electronic Arts,E,2012,22,83,0.22,2.57,0,$0 Million,2.12,0.23,101,5.5
Action,Ghostbusters: The Video Game (DS Version),X360,Take-Two Interactive,,2009,,,1.22,2.57,0.03,$0 Million,1.05,0.27,,
Platform,Ratchet & Clank Future: Tools of Destruction,PS3,Sony Computer Entertainment,,2007,,,1.1,2.56,0.08,$0 Million,0.93,0.45,,
Platform,Sonic Adventure 2 Battle,GC,Sega,E,2001,28,73,0.59,2.56,0.21,$0 Million,1.7,0.07,181,8.3
Role-Playing,Dragon Warrior II,NES,Enix Corporation,,1987,,,0,2.56,2.41,$2 Million,0.15,0,,
Role-Playing,Dragon Age: Origins,X360,Electronic Arts,M,2009,68,86,0.55,2.56,0.03,$0 Million,1.76,0.22,726,7.9
Platform,LittleBigPlanet,PSP,Sony Computer Entertainment,E10+,2009,68,87,1.22,2.55,0.01,$0 Million,0.64,0.67,98,7.8
Role-Playing,Pok\xc3\xa9mon Colosseum,GC,Nintendo,E,2003,37,73,0.57,2.54,0.7,$1 Million,1.21,0.07,92,8
Sports,Madden NFL 09,X360,Electronic Arts,E,2008,50,83,0.12,2.53,0,$0 Million,2.21,0.2,125,7
Shooter,Space Invaders,2600,Atari,,1978,,,0.14,2.53,0,$0 Million,2.36,0.03,,
Action,Skylanders Giants,Wii,Activision,E10+,2012,8,78,0.83,2.53,0,$0 Million,1.49,0.21,20,7
Sports,NBA 2K14,X360,Take-Two Interactive,E,2013,23,87,0.19,2.52,0,$0 Million,2.1,0.23,150,4.9
Misc,Art Academy,DS,Nintendo,E,2010,15,75,1.65,2.52,0.33,$0 Million,0.26,0.28,5,8
Racing,Crazy Taxi,PS2,Acclaim Entertainment,T,2001,15,80,1.12,2.52,0.06,$0 Million,1.13,0.22,48,7.8
Action,Perfect Dark,N64,Nintendo,,2000,,,0.75,2.52,0.16,$0 Million,1.55,0.06,,
Role-Playing,Dragon Warrior,NES,Capcom,,1986,,,0,2.52,0.52,$1 Million,0.49,1.51,,
Racing,Need for Speed (2015),PS4,Electronic Arts,,2015,,,1.55,2.51,0.05,$0 Million,0.52,0.38,,
Sports,Deca Sports,Wii,Konami Digital Entertainment,E,2008,23,50,0.85,2.5,0.29,$0 Million,1.11,0.25,16,5.4
Sports,PES 2009: Pro Evolution Soccer,PS2,Konami Digital Entertainment,,2008,,,0.07,2.5,0.26,$0 Million,0.13,2.05,,
Misc,Mario Party 2,N64,Nintendo,,1999,,,0.14,2.5,1.08,$1 Million,1.28,0.01,,
Role-Playing,Marvel: Ultimate Alliance,X360,Activision,T,2006,68,82,0.02,2.5,0,$0 Million,2.29,0.19,123,7.5
Action,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,X,Take-Two Interactive,,2003,,,0.56,2.49,0,$0 Million,1.84,0.09,,
Fighting,Mortal Kombat: Deadly Alliance,PS2,Midway Games,M,2002,31,79,0.52,2.49,0,$0 Million,1.81,0.15,96,8.8
Misc,Game Party,Wii,Midway Games,E,2007,8,25,0.77,2.48,0,$0 Million,1.47,0.24,26,4.3
Action,Tomb Raider: The Last Revelation,PS,Eidos Interactive,,1998,,,1.14,2.48,0.06,$0 Million,1.15,0.13,,
Misc,Mario Party 4,GC,Nintendo,E,2002,26,70,0.36,2.47,0.92,$1 Million,1.13,0.07,76,7.5
Racing,Pure,X360,Disney Interactive Studios,E,2008,55,85,0.84,2.47,0,$0 Million,1.38,0.25,84,7.7
Misc,Rock Band,X360,Electronic Arts,T,2007,72,92,0.33,2.47,0,$0 Million,1.93,0.21,178,8.2
Sports,NBA 2K13,PS3,Take-Two Interactive,E,2012,26,90,0.43,2.47,0.05,$0 Million,1.73,0.27,100,8
Action,Saints Row: The Third,PS3,THQ,M,2011,50,82,1.04,2.47,0.18,$0 Million,0.86,0.38,386,7.7
Shooter,Resistance 2,PS3,Sony Computer Entertainment,M,2008,79,87,0.84,2.47,0.1,$0 Million,1.15,0.38,1890,6.1
Sports,NBA 2K15,PS4,Take-Two Interactive,E,2014,50,83,0.54,2.46,0.01,$0 Million,1.47,0.43,294,6.9
Racing,Midnight Club: Los Angeles,PS3,Take-Two Interactive,T,2008,50,82,0.53,2.46,0.05,$0 Million,1.56,0.31,102,8.2
Role-Playing,Final Fantasy Tactics,PS,SquareSoft,T,1997,12,83,0.12,2.45,1.34,$1 Million,0.93,0.06,190,8.2
Role-Playing,Final Fantasy V,SNES,SquareSoft,,1992,,,0,2.45,2.43,$2 Million,0,0.02,,
Racing,Twisted Metal 2,PS,Sony Computer Entertainment,,1996,,,0.25,2.44,0,$0 Million,2.12,0.07,,
Action,LEGO Harry Potter: Years 1-4,Wii,Warner Bros. Interactive Entertainment,E10+,2010,13,79,0.93,2.43,0,$0 Million,1.28,0.22,34,8
Simulation,The Sims: Bustin Out,PS2,Electronic Arts,T,2003,26,81,1.19,2.43,0,$0 Million,1.07,0.18,42,8.4
Sports,Madden NFL 16,XOne,Electronic Arts,E,2015,23,84,0.08,2.43,0,$0 Million,2.09,0.26,125,6.1
Adventure,Riven: The Sequel to Myst,PC,Red Or,E,1997,12,83,0.82,2.43,0,$0 Million,1.52,0.1,,
Misc,uDraw Studio,Wii,THQ,E,2010,9,71,0.57,2.42,0,$0 Million,1.65,0.2,,
Platform,Sonic Adventure,DC,Sega,,1998,,,0.61,2.42,0.46,$0 Million,1.26,0.08,,
Sports,Ice Hockey,NES,Nintendo,,1988,,,0.32,2.42,0.78,$1 Million,1.27,0.05,,
Shooter,Tom Clancys Rainbow Six: Vegas 2,X360,Ubisoft,M,2008,66,82,0.6,2.42,0.02,$0 Million,1.56,0.23,176,7.8
Action,Tomb Raider (2013),PS3,Square Enix,,2013,,,1.26,2.42,0.08,$0 Million,0.6,0.48,,
Racing,Need for Speed Carbon: Own the City,PSP,Electronic Arts,E10+,2006,14,73,0.97,2.42,0,$0 Million,0.87,0.58,39,7.9
Fighting,Dragon Ball Z: Budokai 2,PS2,Atari,T,2003,28,66,0.22,2.41,0.51,$1 Million,1.63,0.06,92,8.2
Sports,pro evolution soccer 2011,PS3,Konami Digital Entertainment,E,2010,40,77,1.17,2.41,0.54,$1 Million,0.29,0.41,85,6.8
Racing,ATV Offroad Fury,PS2,Sony Computer Entertainment,E,2001,16,82,0.26,2.41,0,$0 Million,2.07,0.08,53,8.4
Action,Dino Crisis,PS,Capcom,,1998,,,0.76,2.41,0.7,$1 Million,0.81,0.14,,
Racing,Need for Speed: ProStreet,PS2,Electronic Arts,E10+,2007,11,62,0,2.41,0.04,$0 Million,0.69,1.68,34,6.2
Shooter,Halo: Combat Evolved Anniversary,X360,Microsoft Game Studios,M,2011,73,82,0.7,2.4,0.04,$0 Million,1.44,0.22,488,8.1
Puzzle,Tetris Plus,PS,JVC,,1996,,,0.24,2.4,0,$0 Million,2.1,0.07,,
Fighting,Pro Wrestling,NES,Nintendo,,1987,,,0.18,2.4,1.42,$1 Million,0.77,0.03,,
Strategy,Theme Hospital,PC,Electronic Arts,K-A,1997,,,0.1,2.4,0,$0 Million,2.3,0,92,9
Adventure,Froggers Adventures: Temple of the Frog,GBA,Konami Digital Entertainment,E,2001,4,73,0.18,2.39,0,$0 Million,2.15,0.07,,
